gi|6684379	ctg006430	87.500	240	29	1	66	305	4896690	4895974	2.51e-165	435
gi|6684379	ctg006430	87.912	91	11	0	305	395	4895977	4895705	2.51e-165	171
gi|6684379	ctg006430	75.862	58	14	0	8	65	4898648	4898475	1.72e-20	98.6
gi|6684379	ctg002050	86.667	240	31	1	66	305	7876034	7875318	3.22e-164	431
gi|6684379	ctg002050	87.912	91	11	0	305	395	7875321	7875049	3.22e-164	171
gi|6684379	ctg002050	77.586	58	13	0	8	65	7876899	7876726	4.85e-21	100
gi|6684379	ctg002560	85.520	221	31	1	175	395	314196	314855	8.71e-162	387
gi|6684379	ctg002560	90.566	106	10	0	66	171	313888	314205	8.71e-162	207
gi|6684379	ctg002560	75.862	58	14	0	8	65	311929	312102	1.55e-20	98.6
gi|6684379	ctg000920	64.371	334	118	1	61	394	8570996	8571994	5.12e-145	459
gi|6684379	ctg000920	58.182	55	23	0	8	62	8570766	8570930	4.12e-13	75.9
gi|6684379	ctg000920	20.312	256	159	7	142	358	12561792	12561043	1.26e-05	52.4
gi|6684379	ctg003400	42.900	331	185	3	68	396	3061487	3060501	1.68e-81	276
gi|6684379	ctg000510	35.821	268	138	4	20	256	7158034	7157240	7.96e-64	165
gi|6684379	ctg000510	35.211	142	89	1	252	393	7157181	7156765	7.96e-64	102
gi|6684379	ctg004420	32.941	85	50	3	309	393	1149346	1149579	4.53e-09	45.1
gi|6684379	ctg004420	25.581	172	110	5	133	296	1148750	1149235	4.53e-09	38.5
gi|6684379	ctg001730	25.954	262	144	12	155	380	1423958	1424701	8.57e-07	55.8
gi|6684379	ctg001730	24.138	290	175	11	124	380	9236509	9235676	3.80e-04	47.4
gi|6684379	ctg001730	25.368	272	151	11	155	389	8691526	8690756	0.001	45.8
gi|6684379	ctg003440	24.427	262	148	11	155	380	2769425	2770168	1.35e-05	52.0
gi|6684379	ctg003440	24.138	290	175	11	124	380	7073764	7072931	8.25e-04	46.2
gi|6684379	ctg001660	20.312	256	159	7	142	358	10084953	10084204	1.55e-05	52.0
gi|6684379	ctg005830	23.194	263	150	9	155	380	987864	987121	1.89e-05	51.6
gi|6684379	ctg005830	22.527	364	220	13	54	380	107462	108478	6.42e-04	46.6
gi|6684379	ctg000290	25.191	262	146	11	155	380	9197931	9197188	2.01e-05	51.6
gi|6684379	ctg000290	25.573	262	145	12	155	380	9208006	9207263	2.35e-05	51.2
